"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id"
100718,1,12.89,{},regions,mortgage,{secondary},{house},noProgram,36,360,{confirmation},600000,35000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100718
100719,1,12.89,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,{noConfirmation},600000,30000000,30.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100719
100720,1,12.89,{},regions,mortgage,{secondary},{house},noProgram,36,360,{noConfirmation},600000,15000000,30.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100720
398,4,4.60,{},regions_lte_million,mortgage,{newBuilding},{flat},it,36,420,{confirmation},600000,9000000,15.00,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,398
100721,1,12.89,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,{noConfirmation},600000,50000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100721
100722,1,12.89,{},regions,mortgage,{secondary},{house},noProgram,36,360,{noConfirmation},600000,30000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100722
100708,1,12.89,{},regions,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100708
100710,1,12.39,{},regions,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100710
100723,1,12.49,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100723
100724,1,12.49,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100724
100725,1,12.49,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,70000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100725
100726,1,12.49,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,35000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100726
100727,1,12.99,"{1,4593,2,4588}",,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,50.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100727
100728,1,12.99,{},regions,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,50.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100728
100715,1,12.39,"{1,4593,2,4588}",,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,50000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100715
100196,5,11.80,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",500000,30000000,15.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100196
100648,4,5.50,{},regions,mortgage,{houseBuilding},{house},family,36,420,{confirmation},300000,6000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100648
100649,4,5.50,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},family,36,420,{noConfirmation},600000,12000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100649
100650,4,5.50,{},regions,mortgage,{houseBuilding},{house},family,36,420,{noConfirmation},300000,6000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100650
100657,4,4.50,{},regions_lte_million,mortgage,{houseBuilding},{house},it,36,420,{confirmation},600000,9000000,25.00,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100657
100658,4,4.50,{},regions_gte_million,mortgage,{houseBuilding},{house},it,36,420,{confirmation},600000,18000000,25.00,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100658
100661,4,4.50,{},regions_lte_million,mortgage,{houseBuilding},{house},it,36,420,{confirmation},600000,9000000,25.00,99.99,"{true,false}",{false},{businessOwner},"{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100661
100662,4,4.50,{},regions_gte_million,mortgage,{houseBuilding},{house},it,36,420,{confirmation},600000,18000000,25.00,99.99,"{true,false}",{false},{businessOwner},"{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100662
100664,4,13.65,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},300000,20000000,10.00,14.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100664
100665,4,13.15,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},600000,50000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100665
100666,4,13.15,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},300000,20000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100666
100667,4,12.65,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},600000,50000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100667
