"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id","updated_at"
1591,1,17.09,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,30.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101954,2023-12-18 21:53:21.309 +0300
1592,1,17.09,{},regions,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,30.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101955,2023-12-18 21:53:21.309 +0300
1593,1,17.09,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,{confirmation},600000,70000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101956,2023-12-18 21:53:21.309 +0300
1594,1,17.09,{},regions,mortgage,{secondary},{house},noProgram,36,360,{confirmation},600000,35000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101957,2023-12-18 21:53:21.309 +0300
1595,1,16.69,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101958,2023-12-18 21:53:21.309 +0300
1596,1,16.69,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101959,2023-12-18 21:53:21.309 +0300
1597,1,16.69,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101960,2023-12-18 21:53:21.309 +0300
1598,1,16.69,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101961,2023-12-18 21:53:21.309 +0300
1599,1,17.19,"{1,4593,2,4588}",,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101962,2023-12-18 21:53:21.309 +0300
1600,1,17.19,{},regions,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,15000000,30.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101963,2023-12-18 21:53:21.309 +0300
1601,1,17.19,"{1,4593,2,4588}",,refinancing,{secondary},{house},noProgram,36,360,{confirmation},600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101964,2023-12-18 21:53:21.309 +0300
1602,1,17.19,{},regions,refinancing,{secondary},{house},noProgram,36,360,{confirmation},600000,15000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101965,2023-12-18 21:53:21.309 +0300
1251,4,16.30,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},600000,50000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101688,2023-11-03 19:00:00.000 +0300
1252,4,16.30,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},300000,20000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101689,2023-11-03 19:00:00.000 +0300
1253,4,17.20,{},regions,mortgage,{secondary},{house},noProgram,36,420,{confirmation},300000,15000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101690,2023-11-03 19:00:00.000 +0300
